ID,genres,,,,,,,,,,
4740,comedy, romance,,,,,,,,,
4741,comedy, documentation,,,,,,,,,
4742,drama, history,,,,,,,,,
4743,thriller, horror, european,,,,,,,,
4744,drama,,,,,,,,,,
4745,reality, drama,,,,,,,,,
4746,reality,,,,,,,,,,
4747,comedy,,,,,,,,,,
4748,drama, western, european,,,,,,,,
4749,comedy, drama,,,,,,,,,
4750,reality, documentation, history,,,,,,,,
4751,thriller, crime, romance, action,,,,,,,
4752,romance, drama, family,,,,,,,,
4753,comedy,,,,,,,,,,
4754,thriller, crime, drama,,,,,,,,
4755,drama, scifi, thriller, action,,,,,,,
4756,war, comedy, drama, european,,,,,,,
4757,sport, music,,,,,,,,,
4758,scifi, comedy, animation, fantasy,,,,,,,
4759,crime, drama, thriller, action, comedy,,,,,,
4760,action, documentation,,,,,,,,,
4761,comedy, documentation,,,,,,,,,
4762,thriller, horror, drama,,,,,,,,
4763,documentation, animation,,,,,,,,,
4764,scifi, horror,,,,,,,,,
4765,scifi, thriller, drama,,,,,,,,
4766,comedy, horror, thriller, romance,,,,,,,
4767,thriller, horror,,,,,,,,,
4768,fantasy, comedy, romance,,,,,,,,
4769,music, family, animation, action, comedy, fantasy, romance,,,,
4770,comedy, documentation,,,,,,,,,
4771,comedy,,,,,,,,,,
4772,romance, drama,,,,,,,,,
4773,thriller, horror,,,,,,,,,
4774,comedy,,,,,,,,,,
4775,romance, drama,,,,,,,,,
4776,drama,,,,,,,,,,
4777,documentation,,,,,,,,,,
4778,thriller, drama,,,,,,,,,
4779,family, animation, comedy, european,,,,,,,
4780,documentation, sport, european,,,,,,,,
4781,documentation, drama, family,,,,,,,,
4782,drama, thriller, scifi,,,,,,,,
4783,comedy, family,,,,,,,,,
4784,comedy, romance,,,,,,,,,
4785,horror, thriller,,,,,,,,,
4786,documentation, crime,,,,,,,,,
4787,drama, scifi, documentation,,,,,,,,
4788,drama, romance, crime,,,,,,,,
4789,drama, european,,,,,,,,,
4790,action,,,,,,,,,,
4791,action,,,,,,,,,,
4792,thriller, drama,,,,,,,,,
4793,documentation,,,,,,,,,,
4794,comedy,,,,,,,,,,
4795,thriller, action, crime,,,,,,,,
4796,thriller, horror, drama, scifi, action, european,,,,,
4797,documentation, history,,,,,,,,,
4798,romance, comedy,,,,,,,,,
4799,drama, music, romance,,,,,,,,
4800,drama, romance, comedy,,,,,,,,
4801,drama,,,,,,,,,,
4802,comedy, crime, drama,,,,,,,,
4803,comedy,,,,,,,,,,
4804,horror, history, documentation, crime,,,,,,,
4805,reality,,,,,,,,,,
4806,documentation, european,,,,,,,,,
4807,fantasy, animation, family,,,,,,,,
4808,documentation,,,,,,,,,,
4809,thriller, drama,,,,,,,,,
4810,action, drama, family, european,,,,,,,
4811,documentation,,,,,,,,,,
4812,reality,,,,,,,,,,
4813,comedy, family, fantasy,,,,,,,,
4814,drama,,,,,,,,,,
4815,documentation, european,,,,,,,,,
4816,drama, thriller, crime, comedy,,,,,,,
4817,documentation,,,,,,,,,,
4818,romance, comedy,,,,,,,,,
4819,documentation, european, sport,,,,,,,,
4820,horror, thriller, comedy,,,,,,,,
4821,horror, comedy, drama, european,,,,,,,
4822,comedy,,,,,,,,,,
4823,sport, family,,,,,,,,,
4824,horror, comedy,,,,,,,,,
4825,documentation, history, comedy,,,,,,,,
4826,documentation, history, european,,,,,,,,
4827,comedy,,,,,,,,,,
4828,documentation,,,,,,,,,,
4829,drama, crime,,,,,,,,,
4830,action, scifi, thriller,,,,,,,,
4831,fantasy, action, family, european,,,,,,,
4832,romance, comedy, music,,,,,,,,
4833,animation, family, fantasy,,,,,,,,
4834,drama, music, romance, family,,,,,,,
4835,drama, family,,,,,,,,,
4836,drama,,,,,,,,,,
4837,animation,,,,,,,,,,
4838,documentation, sport,,,,,,,,,
4839,animation, family, fantasy,,,,,,,,
4840,comedy,,,,,,,,,,
4841,history, documentation,,,,,,,,,
4842,comedy, documentation,,,,,,,,,
4843,documentation,,,,,,,,,,
4844,thriller, action, crime,,,,,,,,
4845,drama,,,,,,,,,,
4846,comedy,,,,,,,,,,
4847,documentation, action,,,,,,,,,
4848,comedy, drama, documentation, sport, european,,,,,,
4849,documentation,,,,,,,,,,
4850,comedy, documentation,,,,,,,,,
4851,animation,,,,,,,,,,
4852,comedy,,,,,,,,,,
4853,documentation, european,,,,,,,,,
4854,scifi, drama, documentation, history,,,,,,,
4855,thriller, fantasy, comedy, horror,,,,,,,
4856,,,,,,,,,,,
4857,reality,,,,,,,,,,
4858,history, war, documentation, action,,,,,,,
4859,comedy, drama,,,,,,,,,
4860,comedy,,,,,,,,,,
4861,animation, action, sport,,,,,,,,
4862,horror, european,,,,,,,,,
4863,thriller, drama,,,,,,,,,
4864,thriller, drama,,,,,,,,,
4865,romance, drama,,,,,,,,,
4866,thriller,,,,,,,,,,
4867,animation, family,,,,,,,,,
4868,thriller, drama,,,,,,,,,
4869,comedy, documentation, reality,,,,,,,,
4870,drama, crime,,,,,,,,,
4871,fantasy, horror, action, drama, european,,,,,,
4872,drama,,,,,,,,,,
4873,drama, family, sport,,,,,,,,
4874,documentation,,,,,,,,,,
4875,action,,,,,,,,,,
4876,animation,,,,,,,,,,
4877,comedy,,,,,,,,,,
4878,thriller, action, crime, drama,,,,,,,
4879,drama, sport, european,,,,,,,,
4880,documentation,,,,,,,,,,
4881,romance, comedy, drama,,,,,,,,
4882,drama, romance,,,,,,,,,
4883,thriller, horror, action, crime, drama,,,,,,
4884,documentation,,,,,,,,,,
4885,drama, comedy,,,,,,,,,
4886,drama, comedy,,,,,,,,,
4887,family, animation,,,,,,,,,
4888,comedy,,,,,,,,,,
4889,drama, action,,,,,,,,,
4890,comedy, family,,,,,,,,,
4891,thriller, horror, european,,,,,,,,
4892,comedy,,,,,,,,,,
4893,drama, romance, comedy,,,,,,,,
4894,drama,,,,,,,,,,
4895,drama, romance, history,,,,,,,,
4896,horror,,,,,,,,,,
4897,romance, drama,,,,,,,,,
4898,drama, romance, crime,,,,,,,,
4899,documentation, history,,,,,,,,,
4900,drama, european,,,,,,,,,
4901,drama, romance, comedy, fantasy,,,,,,,
4902,animation, family, european,,,,,,,,
4903,music, documentation,,,,,,,,,
4904,thriller, crime, drama, horror,,,,,,,
4905,romance, comedy, drama,,,,,,,,
4906,drama, history,,,,,,,,,
4907,drama, music,,,,,,,,,
4908,drama, romance,,,,,,,,,
4909,drama, family,,,,,,,,,
4910,drama, sport, thriller, action, crime, european,,,,,
4911,thriller, action, drama,,,,,,,,
4912,comedy, drama, european,,,,,,,,
4913,documentation,,,,,,,,,,
4914,romance, comedy,,,,,,,,,
4915,drama, thriller, history, european,,,,,,,
4916,comedy, european,,,,,,,,,
4917,reality, european,,,,,,,,,
4918,comedy, romance,,,,,,,,,
4919,drama, comedy, romance,,,,,,,,
4920,romance, drama, comedy,,,,,,,,
4921,comedy,,,,,,,,,,
4922,horror, action, comedy, thriller,,,,,,,
4923,documentation, drama, comedy,,,,,,,,
4924,thriller, drama,,,,,,,,,
4925,family, animation,,,,,,,,,
4926,documentation, music,,,,,,,,,
4927,comedy, european, documentation, family, history, drama,,,,,
4928,drama,,,,,,,,,,
4929,drama, history,,,,,,,,,
4930,thriller, comedy, scifi,,,,,,,,
4931,horror,,,,,,,,,,
4932,thriller, drama,,,,,,,,,
4933,drama, comedy,,,,,,,,,
4934,action,,,,,,,,,,
4935,thriller, drama,,,,,,,,,
4936,drama, comedy, romance,,,,,,,,
4937,drama, family,,,,,,,,,
4938,scifi, family,,,,,,,,,
4939,drama,,,,,,,,,,
4940,drama, romance,,,,,,,,,
4941,drama, action, family, european,,,,,,,
4942,romance,,,,,,,,,,
4943,thriller, action, drama,,,,,,,,
4944,comedy, horror, crime,,,,,,,,
4945,documentation, history,,,,,,,,,
4946,animation,,,,,,,,,,
4947,crime, thriller, drama,,,,,,,,
4948,action, drama, romance,,,,,,,,
4949,romance, drama,,,,,,,,,
4950,drama,,,,,,,,,,
4951,thriller, action, history, war,,,,,,,
4952,thriller, action, crime, drama,,,,,,,
4953,drama, music,,,,,,,,,
4954,comedy, european,,,,,,,,,
4955,drama, comedy,,,,,,,,,
4956,family,,,,,,,,,,
4957,romance, drama,,,,,,,,,
4958,horror,,,,,,,,,,
4959,comedy,,,,,,,,,,
4960,horror, scifi, thriller, action, comedy, fantasy,,,,,
4961,documentation,,,,,,,,,,
4962,comedy, european,,,,,,,,,
4963,documentation, drama, family, history,,,,,,,
4964,thriller, action, crime, drama,,,,,,,
4965,crime, drama, comedy,,,,,,,,
4966,documentation,,,,,,,,,,
4967,horror,,,,,,,,,,
4968,documentation,,,,,,,,,,
4969,comedy, drama, romance,,,,,,,,
4970,drama, romance,,,,,,,,,
4971,thriller,,,,,,,,,,
4972,thriller, action, drama,,,,,,,,
4973,thriller, european, crime, drama,,,,,,,
4974,drama, family, sport,,,,,,,,
4975,comedy, drama, romance,,,,,,,,
4976,romance, drama, family, history, european,,,,,,
4977,drama, comedy,,,,,,,,,
4978,drama, comedy, romance,,,,,,,,
4979,documentation, history,,,,,,,,,
4980,thriller, action, crime, drama,,,,,,,
4981,drama, history, romance,,,,,,,,
4982,drama, sport,,,,,,,,,
4983,thriller, horror,,,,,,,,,
4984,drama,,,,,,,,,,
4985,family, comedy,,,,,,,,,
4986,comedy,,,,,,,,,,
4987,drama, comedy, romance,,,,,,,,
4988,thriller, horror,,,,,,,,,
4989,horror,,,,,,,,,,
4990,thriller, drama,,,,,,,,,
4991,drama, romance, thriller,,,,,,,,
4992,documentation, history, drama,,,,,,,,
4993,romance, comedy, drama,,,,,,,,
4994,comedy, reality,,,,,,,,,
4995,animation, action, scifi,,,,,,,,
4996,reality,,,,,,,,,,
4997,history, documentation, drama,,,,,,,,
4998,drama, action, crime,,,,,,,,
4999,comedy, family, romance,,,,,,,,
5000,comedy, drama, romance,,,,,,,,
5001,action, scifi, thriller,,,,,,,,
5002,documentation,,,,,,,,,,
5003,comedy, horror,,,,,,,,,
5004,thriller, horror,,,,,,,,,
5005,comedy,,,,,,,,,,
5006,fantasy, drama,,,,,,,,,
5007,comedy, romance, thriller, action,,,,,,,
5008,comedy,,,,,,,,,,
5009,drama, family, comedy,,,,,,,,
5010,music, documentation,,,,,,,,,
5011,animation, action, scifi,,,,,,,,
5012,comedy,,,,,,,,,,
5013,drama, horror, thriller,,,,,,,,
5014,fantasy, animation, comedy, family,,,,,,,
5015,comedy,,,,,,,,,,
5016,drama, thriller,,,,,,,,,
5017,documentation, history,,,,,,,,,
5018,thriller, drama,,,,,,,,,
5019,western, european, drama,,,,,,,,
5020,romance, action,,,,,,,,,
5021,drama,,,,,,,,,,
5022,drama, romance,,,,,,,,,
5023,family, action, european, comedy, drama,,,,,,
5024,drama,,,,,,,,,,
5025,action, drama, comedy,,,,,,,,
5026,comedy, documentation,,,,,,,,,
5027,documentation,,,,,,,,,,
5028,comedy, documentation,,,,,,,,,
5029,history, documentation,,,,,,,,,
5030,drama,,,,,,,,,,
5031,music, romance, drama,,,,,,,,
5032,romance, drama,,,,,,,,,
5033,animation,,,,,,,,,,
5034,drama, documentation,,,,,,,,,
5035,documentation, family,,,,,,,,,
5036,drama, romance, thriller, action, comedy,,,,,,
5037,drama, action, romance,,,,,,,,
5038,horror,,,,,,,,,,
5039,thriller, horror, crime,,,,,,,,
5040,drama, comedy, crime, family,,,,,,,
5041,documentation, history, drama, western, european,,,,,,
5042,drama,,,,,,,,,,
5043,thriller, drama,,,,,,,,,
5044,comedy, drama,,,,,,,,,
5045,thriller, drama,,,,,,,,,
5046,comedy,,,,,,,,,,
5047,drama, romance, thriller, action, crime,,,,,,
5048,romance, comedy, drama,,,,,,,,
5049,action,,,,,,,,,,
5050,family, animation,,,,,,,,,
5051,documentation,,,,,,,,,,
5052,documentation, drama,,,,,,,,,
5053,romance, comedy,,,,,,,,,
5054,horror,,,,,,,,,,
5055,drama, european, sport,,,,,,,,
5056,comedy, documentation,,,,,,,,,
5057,comedy, family,,,,,,,,,
5058,comedy,,,,,,,,,,
5059,documentation,,,,,,,,,,
5060,crime, romance, thriller, action, horror, scifi,,,,,
5061,comedy, drama, romance,,,,,,,,
5062,comedy, drama, romance,,,,,,,,
5063,thriller, drama,,,,,,,,,
5064,comedy, drama, thriller, crime,,,,,,,
5065,family,,,,,,,,,,
5066,animation, family,,,,,,,,,
5067,comedy,,,,,,,,,,
5068,documentation, drama, family,,,,,,,,
5069,,,,,,,,,,,
5070,comedy,,,,,,,,,,
5071,comedy,,,,,,,,,,
5072,comedy,,,,,,,,,,
5073,documentation,,,,,,,,,,
5074,comedy,,,,,,,,,,
5075,romance, comedy, drama, family, fantasy,,,,,,
5076,documentation, crime,,,,,,,,,
5077,thriller, action, crime,,,,,,,,
5078,animation, comedy, family,,,,,,,,
5079,reality, european,,,,,,,,,
5080,action,,,,,,,,,,
5081,action, drama, documentation,,,,,,,,
5082,comedy,,,,,,,,,,
5083,drama,,,,,,,,,,
5084,thriller,,,,,,,,,,
5085,drama,,,,,,,,,,
5086,comedy,,,,,,,,,,
5087,drama, documentation, family,,,,,,,,
5088,horror, comedy, scifi, action,,,,,,,
5089,romance, drama,,,,,,,,,
5090,comedy,,,,,,,,,,
5091,drama, family, action,,,,,,,,
5092,drama, war,,,,,,,,,
5093,documentation,,,,,,,,,,
5094,horror,,,,,,,,,,
5095,comedy, drama, thriller,,,,,,,,
5096,drama, thriller, european,,,,,,,,
5097,comedy, family,,,,,,,,,
5098,,,,,,,,,,,
5099,animation, family,,,,,,,,,
5100,documentation,,,,,,,,,,
5101,documentation, history,,,,,,,,,
5102,comedy,,,,,,,,,,
5103,comedy, documentation,,,,,,,,,
5104,horror,,,,,,,,,,
5105,documentation,,,,,,,,,,
5106,comedy,,,,,,,,,,
5107,documentation,,,,,,,,,,
5108,drama,,,,,,,,,,
5109,action, crime, thriller,,,,,,,,
5110,romance, comedy,,,,,,,,,
5111,comedy, romance,,,,,,,,,
5112,crime, drama, action,,,,,,,,
5113,thriller, drama,,,,,,,,,
5114,sport,,,,,,,,,,
5115,war, drama, thriller, crime,,,,,,,
5116,comedy,,,,,,,,,,
5117,horror,,,,,,,,,,
5118,romance, drama, thriller,,,,,,,,
5119,action, drama,,,,,,,,,
5120,comedy, drama,,,,,,,,,
5121,comedy,,,,,,,,,,
5122,drama, documentation,,,,,,,,,
5123,comedy, romance,,,,,,,,,
5124,documentation,,,,,,,,,,
5125,animation, family, scifi, music,,,,,,,
5126,thriller, crime,,,,,,,,,
5127,documentation, history,,,,,,,,,
5128,thriller,,,,,,,,,,
5129,drama, romance, horror,,,,,,,,
5130,family, romance, drama,,,,,,,,
5131,comedy, documentation,,,,,,,,,
5132,documentation, family, drama,,,,,,,,
5133,fantasy, horror, comedy, drama,,,,,,,
5134,,,,,,,,,,,
5135,documentation,,,,,,,,,,
5136,thriller,,,,,,,,,,
5137,thriller, drama, action,,,,,,,,
5138,horror,,,,,,,,,,
5139,drama,,,,,,,,,,
5140,horror, thriller,,,,,,,,,
5141,drama,,,,,,,,,,
5142,thriller, drama,,,,,,,,,
5143,drama,,,,,,,,,,
5144,drama, comedy, european,,,,,,,,
5145,history, documentation,,,,,,,,,
5146,drama, action,,,,,,,,,
5147,fantasy, scifi,,,,,,,,,
5148,drama,,,,,,,,,,
5149,western,,,,,,,,,,
5150,thriller, action,,,,,,,,,
5151,documentation, music, european,,,,,,,,
5152,,,,,,,,,,,
5153,comedy, romance,,,,,,,,,
5154,action, drama, romance,,,,,,,,
5155,documentation, music,,,,,,,,,
5156,comedy,,,,,,,,,,
5157,comedy,,,,,,,,,,
5158,action, thriller,,,,,,,,,
5159,documentation,,,,,,,,,,
5160,scifi, comedy, drama,,,,,,,,
5161,drama,,,,,,,,,,
5162,documentation, history,,,,,,,,,
5163,drama, documentation,,,,,,,,,
5164,comedy,,,,,,,,,,
5165,documentation, sport,,,,,,,,,
5166,documentation, history,,,,,,,,,
5167,thriller, action,,,,,,,,,
5168,scifi, sport, action, drama, horror,,,,,,
5169,drama, crime,,,,,,,,,
5170,drama,,,,,,,,,,
5171,comedy,,,,,,,,,,
5172,comedy, documentation,,,,,,,,,
5173,drama, comedy,,,,,,,,,
5174,thriller, documentation,,,,,,,,,
5175,,,,,,,,,,,
5176,,,,,,,,,,,
5177,documentation,,,,,,,,,,
5178,thriller, drama,,,,,,,,,
5179,thriller, drama, crime,,,,,,,,
5180,drama, romance, family, european,,,,,,,
5181,,,,,,,,,,,
5182,romance, comedy, drama,,,,,,,,
5183,comedy, action, romance,,,,,,,,
5184,documentation,,,,,,,,,,
5185,comedy, documentation,,,,,,,,,
5186,drama, romance,,,,,,,,,
5187,comedy,,,,,,,,,,
5188,drama, comedy, romance,,,,,,,,
5189,romance, drama, music,,,,,,,,
5190,comedy,,,,,,,,,,
5191,drama, comedy,,,,,,,,,
5192,thriller, drama, crime,,,,,,,,
5193,drama,,,,,,,,,,
5194,comedy, drama,,,,,,,,,
5195,documentation, history, war,,,,,,,,
5196,fantasy,,,,,,,,,,
5197,,,,,,,,,,,
5198,action,,,,,,,,,,
5199,drama,,,,,,,,,,
5200,drama, romance,,,,,,,,,
5201,history, drama, romance,,,,,,,,
5202,action, drama,,,,,,,,,
5203,thriller,,,,,,,,,,
5204,drama,,,,,,,,,,
5205,drama, family,,,,,,,,,
5206,comedy,,,,,,,,,,
5207,drama,,,,,,,,,,
5208,documentation,,,,,,,,,,
5209,drama,,,,,,,,,,
5210,animation, family,,,,,,,,,
5211,documentation,,,,,,,,,,
5212,,,,,,,,,,,
5213,drama, romance, horror, thriller,,,,,,,
5214,documentation,,,,,,,,,,
5215,comedy, drama,,,,,,,,,
5216,drama,,,,,,,,,,
5217,animation,,,,,,,,,,
5218,drama, family,,,,,,,,,
5219,documentation,,,,,,,,,,
5220,documentation, drama,,,,,,,,,
5221,documentation,,,,,,,,,,
5222,drama,,,,,,,,,,
5223,scifi, family,,,,,,,,,
5224,thriller, comedy,,,,,,,,,
5225,comedy,,,,,,,,,,
5226,thriller, crime,,,,,,,,,
5227,comedy,,,,,,,,,,
5228,european,,,,,,,,,,
5229,documentation,,,,,,,,,,
5230,,,,,,,,,,,
5231,comedy, drama,,,,,,,,,
5232,drama,,,,,,,,,,
5233,,,,,,,,,,,
5234,drama, comedy, european,,,,,,,,
5235,documentation,,,,,,,,,,
5236,family,,,,,,,,,,
5237,romance, comedy, action,,,,,,,,
5238,family, action, drama,,,,,,,,
5239,animation,,,,,,,,,,
5240,documentation,,,,,,,,,,
5241,,,,,,,,,,,
5242,comedy, thriller, romance,,,,,,,,
5243,thriller,,,,,,,,,,
5244,documentation, history,,,,,,,,,
5245,thriller, comedy, crime,,,,,,,,
5246,music, family,,,,,,,,,
5247,drama, history,,,,,,,,,
5248,comedy, romance,,,,,,,,,
5249,thriller, action,,,,,,,,,
5250,comedy, documentation, thriller, european,,,,,,,
5251,comedy,,,,,,,,,,
5252,action, thriller,,,,,,,,,
5253,thriller, action, comedy,,,,,,,,
5254,thriller, action,,,,,,,,,
5255,war,,,,,,,,,,
5256,family, thriller, drama,,,,,,,,
5257,,,,,,,,,,,
5258,thriller,,,,,,,,,,
5259,documentation,,,,,,,,,,
5260,action, documentation, drama, sport,,,,,,,
5261,drama, family, romance,,,,,,,,
5262,comedy,,,,,,,,,,
5263,sport,,,,,,,,,,
5264,drama,,,,,,,,,,
5265,documentation,,,,,,,,,,
5266,western,,,,,,,,,,
5267,horror,,,,,,,,,,
5268,drama, family,,,,,,,,,
5269,drama,,,,,,,,,,
5270,comedy,,,,,,,,,,
5271,horror, thriller,,,,,,,,,
5272,drama, romance,,,,,,,,,
5273,documentation,,,,,,,,,,
5274,drama, romance,,,,,,,,,
5275,family,,,,,,,,,,
5276,horror, thriller, drama,,,,,,,,
5277,drama,,,,,,,,,,
5278,thriller,,,,,,,,,,
5279,comedy,,,,,,,,,,
5280,documentation,,,,,,,,,,
5281,,,,,,,,,,,
5282,animation,,,,,,,,,,
5283,documentation,,,,,,,,,,
5284,thriller,,,,,,,,,,
5285,romance, history, music, drama,,,,,,,
5286,documentation,,,,,,,,,,
5287,,,,,,,,,,,
5288,comedy, drama, crime,,,,,,,,
5289,drama,,,,,,,,,,
5290,crime, drama,,,,,,,,,
5291,drama, crime,,,,,,,,,
5292,drama, scifi, thriller,,,,,,,,
5293,crime, drama, thriller,,,,,,,,
5294,drama, scifi, thriller,,,,,,,,
5295,action, scifi, comedy, horror, fantasy, thriller,,,,,
5296,drama, history,,,,,,,,,
5297,drama, comedy, european,,,,,,,,
5298,thriller, action, horror,,,,,,,,
5299,drama, thriller, crime, european,,,,,,,
5300,crime, drama, european,,,,,,,,
5301,thriller, drama, romance,,,,,,,,
5302,scifi, drama, fantasy, horror,,,,,,,
5303,drama, history, romance, european,,,,,,,
5304,drama, scifi, thriller,,,,,,,,
5305,comedy, documentation,,,,,,,,,
5306,crime, drama,,,,,,,,,
5307,thriller, horror, european,,,,,,,,
5308,drama, comedy, action, thriller,,,,,,,
5309,drama,,,,,,,,,,
5310,drama, comedy, romance, european,,,,,,,
5311,drama, scifi, european,,,,,,,,
5312,action, comedy, scifi, crime, animation,,,,,,
5313,drama,,,,,,,,,,
5314,drama, history, european, thriller, action,,,,,,
5315,comedy, drama, crime,,,,,,,,
5316,comedy,,,,,,,,,,
5317,drama, thriller, horror,,,,,,,,
5318,drama, european,,,,,,,,,
5319,comedy, european,,,,,,,,,
5320,drama,,,,,,,,,,
5321,scifi, animation, action, drama, fantasy, horror,,,,,
5322,drama, comedy, european, romance,,,,,,,
5323,drama,,,,,,,,,,
5324,drama, comedy, romance, european,,,,,,,
5325,drama, thriller, crime,,,,,,,,
5326,thriller, drama, history, romance, war, action, european,,,,
5327,thriller, horror,,,,,,,,,
5328,drama, comedy, romance, european,,,,,,,
5329,documentation, history, european,,,,,,,,
5330,romance, comedy,,,,,,,,,
5331,drama, comedy,,,,,,,,,
5332,reality, comedy, sport, european,,,,,,,
5333,drama, crime,,,,,,,,,
5334,drama, crime, action,,,,,,,,
5335,action, documentation, sport,,,,,,,,
5336,drama, thriller, action, romance, war,,,,,,
5337,scifi, action, comedy,,,,,,,,
5338,drama, comedy, european,,,,,,,,
5339,drama, crime,,,,,,,,,
5340,drama, crime, music, comedy,,,,,,,
5341,scifi, comedy, family, animation, fantasy, action,,,,,
5342,thriller, drama, history, sport,,,,,,,
5343,romance, comedy, drama,,,,,,,,
5344,drama, comedy, western, european,,,,,,,
5345,horror, documentation, european,,,,,,,,
5346,thriller, drama,,,,,,,,,
5347,drama, comedy,,,,,,,,,
5348,documentation, comedy, family,,,,,,,,
5349,drama,,,,,,,,,,
5350,comedy, romance, drama,,,,,,,,
5351,scifi, comedy,,,,,,,,,
5352,thriller, horror, european,,,,,,,,
5353,drama, action, history, war, european,,,,,,
5354,thriller, scifi,,,,,,,,,
5355,documentation,,,,,,,,,,
5356,drama,,,,,,,,,,
5357,drama,,,,,,,,,,
5358,thriller, horror, drama,,,,,,,,
5359,comedy, romance,,,,,,,,,
5360,drama, documentation, crime, history,,,,,,,
5361,romance, family,,,,,,,,,
5362,documentation, comedy, reality,,,,,,,,
5363,reality, european,,,,,,,,,
5364,thriller, horror, scifi,,,,,,,,
5365,comedy, animation,,,,,,,,,
5366,war, documentation, action, history,,,,,,,
5367,drama, thriller, horror,,,,,,,,
5368,drama, history, european,,,,,,,,
5369,history, drama, romance, war, european,,,,,,
5370,thriller, action, drama, war,,,,,,,
5371,thriller, drama,,,,,,,,,
5372,drama,,,,,,,,,,
5373,documentation,,,,,,,,,,
5374,drama, comedy,,,,,,,,,
5375,drama, comedy, crime,,,,,,,,
5376,crime, documentation, comedy, horror,,,,,,,
5377,horror, comedy, scifi,,,,,,,,
5378,action, comedy, drama,,,,,,,,
5379,western, drama, war, history,,,,,,,
5380,crime, comedy, drama,,,,,,,,
5381,thriller, horror, scifi,,,,,,,,
5382,horror, thriller, drama,,,,,,,,
5383,animation, drama, fantasy,,,,,,,,
5384,horror, fantasy, thriller,,,,,,,,
5385,documentation,,,,,,,,,,
5386,fantasy, romance, drama, european,,,,,,,
5387,drama,,,,,,,,,,
5388,drama, european,,,,,,,,,
5389,drama, history, romance, european,,,,,,,
5390,drama, romance, comedy,,,,,,,,
5391,drama, european,,,,,,,,,
5392,comedy, horror,,,,,,,,,
5393,drama, war, history, european,,,,,,,
5394,documentation,,,,,,,,,,
5395,action, family, scifi, animation, european,,,,,,
5396,drama, comedy, history,,,,,,,,
5397,comedy, animation,,,,,,,,,
5398,drama,,,,,,,,,,
5399,music, documentation,,,,,,,,,
5400,romance, drama, action, comedy, scifi,,,,,,
5401,drama, comedy, romance,,,,,,,,
5402,action, animation, comedy, crime,,,,,,,
5403,thriller, family, history, drama,,,,,,,
5404,scifi, comedy, drama, family, fantasy,,,,,,
5405,scifi, drama, comedy,,,,,,,,
5406,drama, european, history, romance,,,,,,,
5407,comedy, crime, drama,,,,,,,,
5408,horror,,,,,,,,,,
5409,thriller, drama, european,,,,,,,,
5410,horror,,,,,,,,,,
5411,animation, family,,,,,,,,,
5412,reality,,,,,,,,,,
5413,horror, action, comedy, european,,,,,,,
5414,drama, music,,,,,,,,,
5415,comedy, drama,,,,,,,,,
5416,drama, comedy, romance,,,,,,,,
5417,horror, thriller,,,,,,,,,
5418,history, documentation,,,,,,,,,
5419,documentation, drama, sport,,,,,,,,
5420,romance, comedy,,,,,,,,,
5421,comedy, drama, romance, european,,,,,,,
5422,comedy, reality,,,,,,,,,
5423,war, documentation, history,,,,,,,,
5424,horror,,,,,,,,,,
5425,scifi, thriller, action, comedy, horror,,,,,,
5426,comedy, documentation,,,,,,,,,
5427,comedy, scifi, horror, thriller, action,,,,,,
5428,drama, romance, family,,,,,,,,
5429,family, action, european, drama,,,,,,,
5430,comedy, reality,,,,,,,,,
5431,drama, history, documentation,,,,,,,,
5432,scifi, comedy, drama, fantasy, european,,,,,,
5433,horror, thriller,,,,,,,,,
5434,documentation,,,,,,,,,,
5435,drama,,,,,,,,,,
5436,scifi, action, thriller,,,,,,,,
5437,thriller, horror, drama,,,,,,,,
5438,documentation,,,,,,,,,,
5439,drama,,,,,,,,,,
5440,western, drama, action,,,,,,,,
5441,drama, history,,,,,,,,,
5442,comedy,,,,,,,,,,
5443,scifi, drama, thriller,,,,,,,,
5444,drama, european, history, action,,,,,,,
5445,thriller, romance, drama,,,,,,,,
5446,drama, comedy, romance,,,,,,,,
5447,documentation,,,,,,,,,,
5448,crime,,,,,,,,,,
5449,thriller, scifi, drama,,,,,,,,
5450,action, scifi, drama, horror, thriller,,,,,,
5451,comedy, european, drama,,,,,,,,
5452,thriller, drama, scifi,,,,,,,,
5453,action, comedy,,,,,,,,,
5454,drama, documentation, romance, european,,,,,,,
5455,thriller, action, crime,,,,,,,,
5456,action, family,,,,,,,,,
5457,comedy, romance, music,,,,,,,,
5458,comedy,,,,,,,,,,
5459,horror, thriller,,,,,,,,,
5460,action, comedy, scifi, horror, thriller,,,,,,
5461,music, documentation,,,,,,,,,
5462,thriller, horror, scifi, comedy,,,,,,,
5463,drama, comedy, action,,,,,,,,
5464,drama,,,,,,,,,,
5465,action, thriller,,,,,,,,,
5466,thriller, action, crime,,,,,,,,
5467,drama, scifi,,,,,,,,,
5468,documentation,,,,,,,,,,
5469,comedy, animation,,,,,,,,,
5470,drama, comedy,,,,,,,,,
5471,comedy,,,,,,,,,,
5472,comedy, drama,,,,,,,,,
5473,action, comedy, family, animation,,,,,,,
5474,drama,,,,,,,,,,
5475,animation, comedy, family, european,,,,,,,
5476,horror,,,,,,,,,,
5477,animation, comedy,,,,,,,,,
5478,documentation,,,,,,,,,,
5479,romance, comedy, drama, crime,,,,,,,
5480,romance, comedy,,,,,,,,,
