ID,genres,,,,,,,,,,
172,drama, romance, thriller,,,,,,,,
173,western, action,,,,,,,,,
174,fantasy, family, horror,,,,,,,,
175,romance, action, drama,,,,,,,,
176,comedy, war, romance,,,,,,,,
177,scifi, horror,,,,,,,,,
178,horror, war, thriller,,,,,,,,
179,comedy, action,,,,,,,,,
180,fantasy, romance, drama,,,,,,,,
181,fantasy, comedy,,,,,,,,,
182,drama, family, sport,,,,,,,,
183,documentation, war, history,,,,,,,,
184,thriller, crime, drama,,,,,,,,
185,romance, drama, history, action, comedy, european,,,,,
186,drama, crime,,,,,,,,,
187,western,,,,,,,,,,
188,western, romance, action,,,,,,,,
189,drama, romance,,,,,,,,,
190,documentation, war, drama,,,,,,,,
191,drama, action, western, crime,,,,,,,
192,war, documentation, history,,,,,,,,
193,western, action, music, comedy,,,,,,,
194,documentation, history, war,,,,,,,,
195,comedy, romance,,,,,,,,,
196,western,,,,,,,,,,
197,drama, family, fantasy,,,,,,,,
198,drama,,,,,,,,,,
199,thriller, crime, drama, horror,,,,,,,
200,comedy, romance,,,,,,,,,
201,comedy, romance,,,,,,,,,
202,drama, war,,,,,,,,,
203,drama, romance,,,,,,,,,
204,drama, western, war, music, romance,,,,,,
205,drama,,,,,,,,,,
206,fantasy, action,,,,,,,,,
207,drama,,,,,,,,,,
208,western, music, romance, comedy, action,,,,,,
209,drama, romance, crime,,,,,,,,
210,western, comedy, music,,,,,,,,
211,western,,,,,,,,,,
212,fantasy, comedy, romance,,,,,,,,
213,action, comedy, romance,,,,,,,,
214,comedy,,,,,,,,,,
215,drama, crime,,,,,,,,,
216,drama, romance, comedy, war,,,,,,,
217,comedy, western, family, music, romance, action,,,,,
218,western,,,,,,,,,,
219,western, action, drama, romance,,,,,,,
220,horror, scifi, thriller,,,,,,,,
221,thriller, crime, romance, action, sport,,,,,,
222,comedy, family, sport, romance,,,,,,,
223,thriller, horror,,,,,,,,,
224,thriller, comedy, crime, drama, history, romance,,,,,
225,drama, family,,,,,,,,,
226,action, crime, family,,,,,,,,
227,western, drama, music, action,,,,,,,
228,comedy, drama,,,,,,,,,
229,fantasy, comedy, family,,,,,,,,
230,horror, comedy, thriller,,,,,,,,
231,romance, thriller, drama,,,,,,,,
232,documentation, music,,,,,,,,,
233,drama, romance, thriller, war,,,,,,,
234,comedy, music, drama,,,,,,,,
235,drama, music, action,,,,,,,,
236,western, action, romance, drama,,,,,,,
237,action, scifi,,,,,,,,,
238,comedy,,,,,,,,,,
239,comedy, music, war,,,,,,,,
240,drama, crime,,,,,,,,,
241,drama,,,,,,,,,,
242,horror, thriller, drama, romance,,,,,,,
243,comedy, war, family,,,,,,,,
244,drama, romance, comedy,,,,,,,,
245,comedy, crime,,,,,,,,,
246,action, comedy, family, romance,,,,,,,
247,western,,,,,,,,,,
248,western, action,,,,,,,,,
249,drama, romance, war,,,,,,,,
250,comedy, action,,,,,,,,,
251,western, action, romance,,,,,,,,
252,western, romance, action,,,,,,,,
253,crime, drama, thriller,,,,,,,,
254,drama,,,,,,,,,,
255,western, crime, romance, action,,,,,,,
256,crime, comedy, horror,,,,,,,,
257,crime, drama,,,,,,,,,
258,comedy, romance,,,,,,,,,
259,drama,,,,,,,,,,
260,comedy, romance, family,,,,,,,,
261,drama, music, romance,,,,,,,,
262,drama,,,,,,,,,,
263,horror, thriller,,,,,,,,,
264,romance, drama, crime,,,,,,,,
265,western, action, romance,,,,,,,,
266,thriller, drama, romance,,,,,,,,
267,western, drama, action,,,,,,,,
268,romance, comedy,,,,,,,,,
269,horror, action, comedy,,,,,,,,
270,comedy, romance,,,,,,,,,
271,documentation, war, history,,,,,,,,
272,drama,,,,,,,,,,
273,thriller, crime, drama,,,,,,,,
274,comedy, thriller,,,,,,,,,
275,comedy, romance,,,,,,,,,
276,western,,,,,,,,,,
277,western, action, drama, music,,,,,,,
278,western,,,,,,,,,,
279,action,,,,,,,,,,
280,western,,,,,,,,,,
281,western, drama, romance, action,,,,,,,
282,family, fantasy,,,,,,,,,
283,drama, crime,,,,,,,,,
284,drama, comedy, romance,,,,,,,,
285,romance, comedy, drama, western,,,,,,,
286,drama, war, action,,,,,,,,
287,western,,,,,,,,,,
288,comedy,,,,,,,,,,
289,drama, comedy, romance,,,,,,,,
290,western, sport, action, music, romance,,,,,,
291,thriller,,,,,,,,,,
292,romance, action, comedy, family,,,,,,,
293,comedy,,,,,,,,,,
294,thriller, drama, horror,,,,,,,,
295,romance,,,,,,,,,,
296,comedy, action, fantasy,,,,,,,,
297,western, action,,,,,,,,,
298,drama, romance,,,,,,,,,
299,war, documentation,,,,,,,,,
300,comedy,,,,,,,,,,
301,comedy, animation, family, fantasy,,,,,,,
302,comedy, romance,,,,,,,,,
303,western,,,,,,,,,,
304,drama, war, history,,,,,,,,
305,western, drama, music, action,,,,,,,
306,drama, romance, comedy,,,,,,,,
307,action, drama, romance,,,,,,,,
308,drama, romance, crime,,,,,,,,
309,western, action,,,,,,,,,
310,romance, war, comedy, drama,,,,,,,
311,drama,,,,,,,,,,
312,western, romance, action,,,,,,,,
313,thriller, crime, drama,,,,,,,,
314,comedy,,,,,,,,,,
315,thriller, crime, drama,,,,,,,,
316,drama, comedy,,,,,,,,,
317,drama, war,,,,,,,,,
318,drama, romance, comedy,,,,,,,,
319,romance, war, comedy,,,,,,,,
320,western, action, romance,,,,,,,,
321,comedy, action, crime,,,,,,,,
322,western, scifi, crime, romance,,,,,,,
323,action,,,,,,,,,,
324,thriller, comedy, crime, drama,,,,,,,
325,drama, romance,,,,,,,,,
326,comedy, romance,,,,,,,,,
327,western,,,,,,,,,,
328,western, comedy, drama, romance, action,,,,,,
329,drama,,,,,,,,,,
330,fantasy, drama,,,,,,,,,
331,western,,,,,,,,,,
332,thriller, scifi,,,,,,,,,
333,western, drama, romance, action, comedy,,,,,,
