ID,genres
231,thriller
231,drama
232,documentation
232,music
233,drama
233,romance
233,thriller
233,war
234,comedy
234,music
234,drama
235,drama
235,music
235,action
236,western
236,action
236,romance
236,drama
237,action
237,scifi
238,comedy
239,comedy
239,music
239,war
240,drama
240,crime
241,drama
242,horror
242,thriller
242,drama
242,romance
243,comedy
243,war
243,family
244,drama
244,romance
244,comedy
245,comedy
245,crime
246,action
246,comedy
246,family
246,romance
247,western
248,western
248,action
249,drama
249,romance
249,war
250,comedy
250,action
251,western
251,action
251,romance
252,western
252,romance
252,action
253,crime
253,drama
253,thriller
254,drama
255,western
255,crime
255,romance
255,action
256,crime
256,comedy
256,horror
257,crime
257,drama
258,comedy
258,romance
259,drama
260,comedy
260,romance
260,family
261,drama
261,music
261,romance
262,drama
263,horror
263,thriller
264,romance
264,drama
264,crime
265,western
265,action
265,romance
266,thriller
266,drama
266,romance
267,western
267,drama
267,action
268,romance
268,comedy
269,horror
269,action
269,comedy
270,comedy
270,romance
271,documentation
271,war
271,history
272,drama
273,thriller
273,crime
273,drama
274,comedy
274,thriller
275,comedy
275,romance
276,western
277,western
277,action
277,drama
277,music
278,western
279,action
280,western
281,western
281,drama
281,romance
281,action
282,family
282,fantasy
283,drama
283,crime
284,drama
284,comedy
284,romance
285,romance
285,comedy
285,drama
285,western
286,drama
286,war
286,action
287,western
288,comedy
289,drama
289,comedy
289,romance
290,western
290,sport
290,action
290,music
290,romance
291,thriller
292,romance
292,action
292,comedy
292,family
293,comedy
294,thriller
294,drama
294,horror
295,romance
296,comedy
296,action
296,fantasy
297,western
297,action
298,drama
298,romance
299,war
299,documentation
300,comedy
301,comedy
301,animation
301,family
301,fantasy
302,comedy
302,romance
303,western
304,drama
304,war
304,history
305,western
305,drama
305,music
305,action
306,drama
306,romance
306,comedy
307,action
307,drama
307,romance
308,drama
308,romance
308,crime
309,western
309,action
310,romance
310,war
310,comedy
310,drama
311,drama
312,western
312,romance
312,action
313,thriller
313,crime
313,drama
314,comedy
315,thriller
315,crime
315,drama
316,drama
316,comedy
317,drama
317,war
318,drama
318,romance
318,comedy
319,romance
319,war
319,comedy
320,western
320,action
320,romance
321,comedy
321,action
321,crime
322,western
322,scifi
322,crime
322,romance
323,action
324,thriller
324,comedy
324,crime
324,drama
325,drama
325,romance
326,comedy
326,romance
327,western
328,western
328,comedy
328,drama
328,romance
328,action
329,drama
330,fantasy
330,drama
331,western
332,thriller
332,scifi
333,western
333,drama
333,romance
333,action
333,comedy
334,romance
334,thriller
335,thriller
335,drama
336,romance
336,comedy
336,music
337,comedy
337,romance
337,music
337,european
338,comedy
338,romance
339,western
339,action
339,music
340,drama
340,war
341,western
341,music
341,romance
342,comedy
342,sport
342,action
342,romance
343,war
343,romance
343,thriller
343,drama
344,comedy
344,romance
345,music
345,family
345,drama
346,thriller
347,comedy
347,drama
347,sport
348,romance
348,drama
349,drama
349,crime
350,music
351,romance
351,comedy
352,comedy
352,war
352,romance
353,romance
353,comedy
354,western
354,romance
354,action
355,comedy
355,music
355,sport
356,western
356,music
356,action
357,western
357,action
357,drama
357,music
358,drama
359,romance
359,western
359,action
360,western
361,thriller
361,action
361,crime
361,drama
362,music
363,western
363,romance
363,action
363,comedy
363,music
364,western
364,drama
365,western
365,action
365,comedy
365,romance
366,comedy
366,music
366,romance
367,action
367,romance
367,thriller
367,war
368,action
368,family
369,western
369,action
369,comedy
369,romance
370,western
370,music
370,action
371,comedy
371,sport
371,romance
372,thriller
372,romance
373,documentation
373,war
374,thriller
374,war
375,western
375,action
376,comedy
376,music
376,romance
377,western
377,action
377,crime
377,music
378,western
379,drama
379,romance
379,comedy
381,thriller
382,drama
382,action
382,comedy
384,western
384,romance
385,thriller
385,drama
385,crime
386,romance
386,drama
387,romance
387,comedy
388,drama
388,comedy
389,western
389,drama
390,drama
390,romance
391,thriller
391,action
391,crime
391,romance
391,comedy
392,romance
392,comedy
392,music
393,western
393,drama
393,action
394,war
394,documentation
394,history
395,drama
395,romance
396,western
396,action
396,music
396,comedy
397,western
397,romance
397,comedy
398,drama
398,western
398,romance
399,drama
400,crime
400,drama
401,western
402,western
402,action
403,drama
404,drama
404,romance
404,war
405,western
406,drama
406,crime
407,romance
407,thriller
408,action
409,western
410,drama
410,crime
410,romance
410,comedy
411,action
411,western
411,drama
411,romance
411,comedy
412,thriller
412,crime
413,drama
414,romance
414,comedy
415,western
415,comedy
415,music
415,romance
416,drama
417,romance
417,action
417,drama
417,sport
418,drama
418,sport
419,comedy
419,music
420,western
420,action
420,music
421,western
421,action
421,music
422,drama
423,comedy
424,western
424,action
425,western
